 ,Area,Mean,Min,Max
1,397.884,98.488,69,132
2,455.860,104.237,76,151
3,393.777,111.044,86,170
4,433.192,113.834,86,163
5,372.999,138.741,93,215
6,605.194,169.531,103,252
7,542.904,156.901,94,255
