 ,Area,Mean,Min,Max
1,228.036,197.671,100,255
2,376.832,180.214,94,255
3,382.465,184.082,94,255
4,508.097,175.309,83,255
5,330.563,175.443,95,255
6,545.229,169.067,89,255
