 ,Area,Mean,Min,Max
1,8.740,126.097,40,252
2,7.621,125.568,40,252
3,5.458,128.872,42,254
4,7.318,131.118,47,253
5,7.994,123.858,27,254
6,3.908,127.440,47,253
7,5.502,132.245,47,255
8,7.601,127.086,37,250
9,9.964,131.923,44,251
10,14.479,130.629,43,253
